null	No.	OK	change	protein name	old
R00	13259			UPF0056 inner membrane protein	Uncharacterized conserved membrane protein
R00	13260			UPF0284 protein SynWH7803_1880	Putative Phosphoribosyltransferase
R00	13261			UPF0182 protein SynWH7803_1117	Uncharacterized conserved membrane protein
R00	13262			UPF0272 protein SynWH7803_1814	Conserved hypothetical protein
U02	13263			hypothetical protein	Conserved hypothetical protein similar to TolB C-terminal domain
U02	13264			hypothetical protein	putative PhnH protein, phosphonate metabolism, function unknown
U02	13265			hypothetical protein	conserved hypothetical protein 245
U00	13266			Glycosyltransferase of family GT19 possible lipid A disaccharide synthase	Glycosyltransferase of family GT19; possible lipid A disaccharide synthase
R00	13267			Chaperone protein ClpB	ATPase AAA-2
R00	13268			Chromophore lyase CpcS/CpeS	Putative phycoerythrin linker protein CpeS homolog
R00	13269			D-alanyl-D-alanine dipeptidase	peptidase M15D, vanX D-ala-D-ala dipeptidase
R00	13270			Glutamyl-Q tRNA(Asp) synthetase	Glutamyl-tRNA synthetase-related protein
R00	13271			Phosphate acyltransferase	Fatty acid/phospholipid synthesis protein PlsX
R00	13272			Bifunctional protein PyrR	Possible pyrimidine operon regulatory protein PyrR/uracil
R00	13273			Probable 30S ribosomal protein PSRP-3	Probable 30S ribosomal protein PSRP-3 (Ycf65-like protein)
R00	13274			Zinc metalloprotease	Predicted membrane-associated Zn-dependent protease
R00	13275			Histidine kinase	adenylate/guanylate cyclase
R00	13276			RNA polymerase sigma factor	RNA polymerase, sigma 28 subunit
R00	13277			Ribonuclease R	RNAse R
R00	13278			Nucleoside permease	Na+ dependent nucleoside transporter-like
U02	13279			hypothetical protein	conserved Hypothetical protein F26A1.8
R00	13280			Cytochrome c6	cytochrome c, class I
R00	13281			Bifunctional protein GlmU	glucosamine-1-phosphate N-acetyltransferase, UDP-N-acetylglucosamine pyrophosphorylase
R00	13282			ATP phosphoribosyltransferase	ATP phosphoribosyltransferase regulatory subunit ath:At1g09795 ATP phosphoribosyl transferase 2 (ATP-PRT2)
R00	13283			Photosystem II CP47 reaction center protein	photosystem antenna protein-like
R00	13284			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	CpcD phycobilisome linker-like
R00	13285			S-adenosylmethionine:tRNA ribosyltransferase-isomerase	S-adenosylmethionine--tRNA-ribosyltransferase-isomerase
R00	13286			Histidine--tRNA ligase	ATP phosphoribosyltransferase regulatory subunit
R00	13287			Ycf48-like protein	glycosyl hydrolase, BNR repeat
R00	13288			Thioredoxin	Thioredoxin domain
R00	13289			Lysozyme	Peptidoglycan-binding domain 1
R00	13290			Lysozyme	glycoside hydrolase, family 24
R00	13291			Histidine kinase	ATP-binding region, ATPase-like
R00	13292			Histidine kinase	cyclic nucleotide-binding protein
R00	13293			Alpha-1,4 glucan phosphorylase	glycogen/starch/alpha-glucan phosphorylases
R00	13294			Putative 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	alpha/beta hydrolase fold
R00	13295			Cysteine desulfurase IscS	aminotransferase, class V
U02	13296			hypothetical protein	protein of unknown function DUF1535
U02	13297			hypothetical protein	protein of unknown function DUF1194
U02	13298			hypothetical protein	Protein of unknown function DUF2142, membrane
U02	13299			hypothetical protein	conserved hypothetical protein 374
R00	13300			Glycine dehydrogenase (decarboxylating)	glycine dehydrogenase (decarboxylating) beta subunit, glycine dehydrogenase (decarboxylating) alpha subunit
R00	13301			Ferredoxin-thioredoxin reductase, catalytic chain	ferredoxin thioredoxin reductase, beta chain
R00	13302			S-(hydroxymethyl)glutathione dehydrogenase	Alcohol dehydrogenase, zinc-binding
R00	13303			Leucyl/phenylalanyl-tRNA--protein transferase	Leucyltransferase
R00	13304			Molybdenum cofactor biosynthesis protein B	molybdenum cofactor synthesis domain
R00	13305			Phosphonates import ATP-binding protein PhnC	ABC transporter related protein
R00	13306			Protease 4	signal peptide peptidase A. Serine peptidase. MEROPS family S49
R00	13307			RNA polymerase sigma factor SigA	RNA polymerase, sigma 28 subunit
R00	13308			Threonine--tRNA ligase	Ser-tRNA(Thr) hydrolase, threonyl-tRNA synthetase
R00	13309			UvrABC system protein A	UvrA family protein
R00	13310			Ferredoxin--NADP reductase	oxidoreductase FAD/NAD(P)-binding
R00	13311			Histidine kinase	CheA signal transduction histidine kinases
R00	13312			Chaperone protein HtpG	ATP-binding region, ATPase-like
R00	13313			Glycolate oxidase iron-sulfur subunit	protein of unknown function DUF224, cysteine-rich region
R00	13314			DNA repair protein radA	DNA replication and repair protein RadA
R00	13315			UPF0284 protein GEI7407_0539	Nicotinate-nucleotide-dimethylbenzimidazolephosp horibosyltransferase
U02	13316			hypothetical protein	protein of unknown function DUF1993
U02	13317			hypothetical protein	protein of unknown function DUF1304
U02	13318			hypothetical protein	conserved hypothetical protein, conserved
U02	13319			hypothetical protein	conserved hypothetical protein 730
U01	13320			IdsA protein	IdsA
R00	13321			Holo-[acyl-carrier-protein] synthase	holo-acyl-carrier-protein synthase
R00	13322			Sulfurtransferase	Rhodanese-like
R00	13323			UPF0272 protein Tery_0652	protein of unknown function DUF111
R00	13324			UPF0102 protein GEI7407_1730	Uncharacterized protein family UPF0102
U02	13325			hypothetical protein	protein of unknown function DUF900 hydrolase family protein
U02	13326			hypothetical protein	protein of unknown function DUF205
U02	13327			hypothetical protein	conserved hypothetical protein, putative outer membrane protein
R00	13328			ATP synthase subunit alpha	alternate F1F0 ATPase, F1 subunit alpha
R00	13329			UPF0182 protein GEI7407_1316	protein of unknown function UPF0182
R00	13330			Probable transcriptional regulatory protein GEI7407_0904	protein of unknown function DUF28
U02	13331			hypothetical protein	Domain of unknown function DUF1745
U02	13332			hypothetical protein	conserved hypothetical protein-putative glucosesorbosone dehydrogenases
U02	13333			hypothetical protein	protein of unknown function DUF900, hydrolase-like
U00	13334			Putative phosphonate metabolism protein PhnG K06166 PhnG protein	putative phosphonate metabolism protein PhnG; K06166 PhnG protein
R00	13335			NAD(P)H-quinone oxidoreductase subunit 4L	NADH-ubiquinone oxidoreductase, chain 4L
R00	13336			Lysozyme	phage related lysozyme
R00	13337			Riboflavin biosynthesis protein	FMN adenylyltransferase, riboflavin kinase
R00	13338			Fe(3+) ions import ATP-binding protein FbpC	spermidine/putrescine ABC transporter ATPase subunit
R00	13339			UPF0176 protein GEI7407_1708	Rhodanese domain protein
R00	13340			Maf-like protein GEI7407_0472	maf protein
R00	13341			UPF0234 protein GEI7407_0682	protein of unknown function DUF520
R00	13342			UPF0367 protein GEI7407_2496	hypothetical protein
R00	13343			Nucleoid-associated protein GEI7407_0722	Uncharacterized protein family UPF0133
U02	13344			hypothetical protein	conserved hypothetical protein 698
U01	13345			YxaI protein	YxaI
R00	13346			ATP synthase subunit b	ATP synthase F0 subcomplex B subunit
R00	13347			Aldehyde-alcohol dehydrogenase	alcohol dehydrogenase AdhE, acetaldehyde dehydrogenase
R00	13348			UPF0296 protein GEI7407_1162	protein of unknown function DUF370
R00	13349			UPF0061 protein GEI7407_2322	protein of unknown function UPF0061
R00	13350			UPF0235 protein GEI7407_1628	protein of unknown function DUF167
U02	13351			hypothetical protein	protein of unknown function DUF558
U02	13352			hypothetical protein	protein of unknown function DUF92, transmembrane
R00	13353			Arginine biosynthesis bifunctional protein ArgJ	N-acetylglutamate synthase, glutamate N-acetyltransferase
R00	13354			Riboflavin biosynthesis protein RibD	5-amino-6-(5-phosphoribosylamino)uracil reductase diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase; TIGRFAM: riboflavin biosynthesis protein RibD Riboflavin-specific deaminase-like; PFAM: CMP/dCMP deaminase, zinc-binding bifunctional deaminase-reductase-like
R00	13355			UPF0145 protein GEI7407_2243	protein of unknown function DUF74
R00	13356			PKHD-type hydroxylase GEI7407_3073	2OG-Fe(II) oxygenase
R00	13357			UPF0272 protein GEI7407_0602	protein of unknown function DUF111
R00	13358			Nucleoid-associated protein Tery_4027	conserved hypothetical protein 103
U02	13359			hypothetical protein	Protein of unknown function DUF2290
R00	13360			5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	MTA/SAH nucleosidase
R00	13361			Molybdenum cofactor biosynthesis protein B	molybdenum cofactor biosynthesis domain protein
R00	13362			3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	icc protein
R00	13363			Amine oxidase	putative copper methylamine oxidase
U02	13364			hypothetical protein	Protein of unknown function DUF2233, periplasmic
U02	13365			hypothetical protein	Domain of unknown function DUF1929
U00	13366			Maturase reverse transcriptase	maturase; reverse transcriptase
R00	13367			Probable 2-phosphosulfolactate phosphatase	putative 2-phosphosulfolactate phosphatase
R00	13368			Aspartate-semialdehyde dehydrogenase	aspartate-semialdehyde dehydrogenase, USG-1 related
R00	13369			Exodeoxyribonuclease 7 small subunit	putative exodeoxyribonuclease VII small subunit
R00	13370			Histidine biosynthesis bifunctional protein HisIE	histidine biosynthesis bifunctional protein, phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphohydrolase
R00	13371			Lipoyl synthase	lipoate synthetase
R00	13372			Probable molybdenum cofactor guanylyltransferase	putative molybdopterin-guanine dinucleotide biosynthesis protein A
R00	13373			Cysteine desulfurase	cysteine desulphurase
R00	13374			Protease 4	protease IV, 67K long form
R00	13375			Cytochrome b6-f complex iron-sulfur subunit	cytochrome b6-f complex Rieske iron-sulfur protein, plastoquinol--plastocyanin reductase
R00	13376			GDP-mannose 4,6-dehydratase	GDP-D-mannose 4,6-dehydratase
R00	13377			Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	carbamoyl-phosphate synthase pyrimidine-specific large chain
R00	13378			DNA topoisomerase (ATP-hydrolyzing)	DNA gyrase A subunit
R00	13379			Peptidyl-prolyl cis-trans isomerase	putative FKBP-type peptidyl-prolyl cis-trans isomerase
R00	13380			Transcription termination/antitermination protein NusA	transcription termination factor, N utilization substance protein
R00	13381			Peptidylprolyl isomerase	parvulin-like peptidyl-prolyl isomerase-like protein
R00	13382			Protein-glutamate methylesterase	two-component sensor histidine kinase
R00	13383			Photosystem II CP47 reaction center protein	photosystem II CP47 protein, 47 kD chlorophyll-binding protein
R00	13384			Crossover junction endodeoxyribonuclease RuvC	putative RuvC-like Holliday junction resolvase
R00	13385			RNA polymerase sigma factor SigA	group 1 sigma-70 RNA polymerase sigma factor A
R00	13386			Histidine kinase	serine/threonine protein kinase and signal transduction histidine kinase
R00	13387			Histidine kinase	probable adenylate cyclase
R00	13388			Ribonuclease VapC	StbB-like plasmid stabilization protein
R00	13389			Ribonucleoside-diphosphate reductase	ribonucleoside-diphosphate reductase alpha subunit
R00	13390			5-methylthioadenosine/S-adenosylhomocysteine deaminase	5-methylthioadenosine/S-adenosylhomocysteinedeam inase
R00	13391			UPF0182 protein Nos7107_4772	UPF0182 protein
U00	13392			Probable cell envelope-related transcriptional attenuator	probable cell envelope-related transcriptional attenuator precursor
R00	13393			Dephospho-CoA kinase	putative Dephospho-CoA kinase
R00	13394			Lipoprotein signal peptidase	probable lipoprotein signal peptidase
R00	13395			Bifunctional protein PyrR	uracil phosphoribosyltransferase/pyrimidine operon regulatory protein
R00	13396			Thiamine-phosphate synthase	thiamine phosphate pyrophosphorylase
R00	13397			Ribosome biogenesis GTPase A	unknown
R00	13398			Methylenetetrahydrofolate reductase	putative Methylenetetrahydrofolate reductase
R00	13399			Laccase domain protein	DUF152-containing protein
R00	13400			UPF0367 protein Nos7107_3889	UPF0367 protein
R00	13401			UPF0176 protein Nos7107_0867	UPF0176 protein yceA
R00	13402			UPF0284 protein Nos7107_0358	UPF0284 protein
U02	13403			hypothetical protein	Protein of unknown function (DUF1392)
U02	13404			hypothetical protein	Protein of unknown function (DUF1308)
R00	13405			UPF0145 protein Riv7116_6449	hypothetical protein
R00	13406			UPF0235 protein Nos7524_0495	hypothetical protein
R00	13407			UPF0176 protein Nos7524_2093	putative sulfurtransferase
U02	13408			hypothetical protein	Protein of unknown function (DUF3225)
U02	13409			hypothetical protein	Protein of unknown function (DUF1353)
U02	13410			hypothetical protein	Tellurite resistance protein TerB/GTPase of unknown function
R00	13411			UPF0367 protein Riv7116_5663	hypothetical protein
R00	13412			UPF0102 protein Nos7524_4357	TIGR00252 family protein
U02	13413			hypothetical protein	protein of unknown function (DUF2382)
U02	13414			hypothetical protein	protein of unknown function DUF1526
R00	13415			Acyl-CoA reductase	Acyl-CoA reductase (LuxC)
R00	13416			Phosphatidylserine decarboxylase proenzyme	phosphatidylserine decarboxylase precursor
R00	13417			UPF0061 protein Riv7116_2150	hypothetical protein
R00	13418			UPF0284 protein Riv7116_1136	TIGR00303 family protein
R00	13419			PKHD-type hydroxylase Riv7116_1478	putative iron-regulated protein
R00	13420			UPF0296 protein Riv7116_1595	hypothetical protein
R00	13421			Cytochrome b6-f complex iron-sulfur subunit	cyclic nucleotide-binding protein
R00	13422			V-type ATP synthase alpha chain	H+transporting two-sector ATPase alpha/beta subunit central region
U02	13423			hypothetical protein	Protein of unknown function DUF1963
U02	13424			hypothetical protein	protein of unknown function DUF486
R00	13425			Lysozyme	Peptidoglycan-binding domain 1 protein
R00	13426			UPF0061 protein Anacy_3351	UPF0061 protein ydiU
R00	13427			Probable transcriptional regulatory protein Anacy_2289	UPF0082 protein yeeN
R00	13428			UPF0284 protein Anacy_1596	UPF0284 protein
R00	13429			Putative 3-methyladenine DNA glycosylase	Hypothetical protein
R00	13430			10 kDa chaperonin	Hypothetical protein
R00	13431			Cell division protein FtsZ	Cell division protein FtsZ:Tubulin/FtsZ family protein
R00	13432			Endonuclease MutS2	putative DNA mismatch repair protein MutS family protein
R00	13433			Chromosome partition protein Smc	Hypothetical protein
R00	13434			Histidine kinase	Hypothetical protein
R00	13435			tRNA-dihydrouridine synthase	putative nitrogen regulation protein NifR3 family protein
R00	13436			Fructose-bisphosphate aldolase	Hypothetical protein
R00	13437			Glucosamine-6-phosphate deaminase	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
R00	13438			UPF0102 protein Anacy_5281	UPF0102 protein yraN
R00	13439			UPF0272 protein Anacy_4136	UPF0272 protein
R00	13440			UPF0234 protein Anacy_3543	UPF0234 protein yajQ
R00	13441			UPF0234 protein P9303_06941	Hypothetical protein
R00	13442			UPF0284 protein P9303_06331	NaMN:DMB phosphoribosyltransferase
R00	13443			Acid phosphatase	Hypothetical protein
R00	13444			Exodeoxyribonuclease 7 small subunit	possible exodeoxyribonuclease small subunit
R00	13445			2-dehydro-3-deoxyphosphooctonate aldolase	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase
R00	13446			Putative lipid II flippase MurJ	Uncharacterized membrane protein, putative virulence factor
R00	13447			Peptide methionine sulfoxide reductase MsrB	putative methionine sulfoxide reductase family protein
R00	13448			50S ribosomal protein L7/L12	Hypothetical protein
R00	13449			Threonine synthase	Threonine synthase: Pyridoxal-5'-phosphate-dependent enzymes, beta family protein
R00	13450			N-acylglucosamine-6-phosphate 2-epimerase	FMN-binding protein (core region)
R00	13451			UPF0056 inner membrane protein	Hypothetical protein
U02	13452			hypothetical protein	putative protein kinase
U02	13453			hypothetical protein	protein of unknown function DUF165
U02	13454			hypothetical protein	protein of unknown function DUF47
U00	13455			Bifunctional protein: zinc-containing alcohol dehydrogenase quinone oxidoreductase ( NADPH:quinone reductase) Similar to arginate lyase	Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase); Similar to arginate lyase
R00	13456			Aldehyde decarbonylase	cyanobacterial hypothetical protein
R00	13457			ATP synthase subunit b	ATP synthase F0 subunit B
R00	13458			Sulfate/thiosulfate import ATP-binding protein CysA	sulfate transport system permease protein 1
R00	13459			Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	glutamine--fructose-6-phosphate transaminase (isomerizing)
R00	13460			Glutamine synthetase	glutamate-ammonia ligase
R00	13461			1,4-dihydroxy-2-naphthoate phytyltransferase	1,4-dihydroxy-2-naphthoate (DHNA) octaprenyltransferase; UbiA prenyltranferase family protein
R00	13462			Pyruvate-flavodoxin oxidoreductase	pyruvate-flavodoxin oxidoreductase NifJ
R00	13463			4-hydroxybenzoate solanesyltransferase	4-hydroxybenzoate polyprenyl transferase UbiA
R00	13464			Photosystem I reaction center subunit XII	photosystem I reaction center subunit XII/photosystem I protein M PsaM
R00	13465			Ribulose bisphosphate carboxylase large chain	ribulose-bisphosphate carboxylase large subunit
R00	13466			Probable dual-specificity RNA methyltransferase RlmN	putative Fe-S-cluster redox protein
R00	13467			Ribosomal RNA small subunit methyltransferase G	glucose-inhibited division protein B
R00	13468			SsrA-binding protein	SsrA-binding protein SmpB
R00	13469			Transaldolase	transaldolase TalAB
R00	13470			Urease accessory protein UreE	Hypothetical protein
R00	13471			GDP-mannose 4,6-dehydratase	GDP-mannose 4,6 dehydratase
R00	13472			Histidine kinase	phosphate regulon histidine kinase PhoR
R00	13473			Histidine kinase	two-component signal transduction histidine kinase
R00	13474			Histidine kinase	Serine/threonine protein kinase PrkC, regulator of stationary phase
R00	13475			Histidine kinase	Ethylene receptor
R00	13476			mRNA interferase	growth inhibitor protein
R00	13477			mRNA interferase	PemK-like growth inhibitor protein
R00	13478			Pyroglutamyl-peptidase I	pyroglutamyl peptidase
R00	13479			Chaperone protein HtpG	Heat shock protein Hsp90
R00	13480			Putative Holliday junction resolvase	holliday junction-type resolvase
R00	13481			Phosphoribulokinase	Uridine kinase
R00	13482			Putative 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	alpha/beta hydrolase fold-containing protein
R00	13483			Amine oxidase	amine oxidase
R00	13484			Bifunctional protein HldE	ADP-heptose synthase
R00	13485			Adenine deaminase	adenine deaminase
U00	13486			Surface layer protein	Surface layer protein precursor
U02	13487			hypothetical protein	Conserved hypothetical protein, contains S4-like domain
U02	13488			hypothetical protein	Hypothetical protein, contains HAS barrel docking domain and DUF87 domain
U00	13489			Microcompartments protein	Microcompartments protein precursor
R00	13490			Aldehyde decarbonylase	Ferritin-like superfamily protein
R00	13491			Chaperone protein ClpB	Chaperone ClpB
R00	13492			GTP cyclohydrolase 1 type 2 homolog	Hypothetical protein
R00	13493			Putative gluconeogenesis factor	Hypothetical protein UPF0052
R00	13494			Protease HtpX homolog	putative htpX-like protease
R00	13495			Ribosomal RNA small subunit methyltransferase G	rRNA small subunit methyltransferase, glucose inhibited division protein GidB
R00	13496			Glutamate--tRNA ligase	Glutamyl-tRNA synthetase Glutamyl-tRNA(Gln) synthetase unambiguous
R00	13497			Proline--tRNA ligase	Prolyl-tRNA synthetase Bacterial type
R00	13498			Cytosine-specific methyltransferase	Modification methylase HgiCII
R00	13499			Histidine kinase	Two-component system sensor histidine kinase, phosphate sensing PhoR
R00	13500			Histidine kinase	Phytochrome-like protein; two-component sensor histidine kinase
R00	13501			NAD(P) transhydrogenase subunit beta	NAD/NADP transhydrogenase beta subuni
R00	13502			Putative 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
R00	13503			Protein-glutamate methylesterase	Chemotaxis protein methyltransferase CheR
R00	13504			Maf-like protein NSP_32660	Septum formation protein Maf
R00	13505			UPF0234 protein NSP_5040	UPF0234 protein YajQ
R00	13506			UPF0176 protein SynRCC307_0794	Predicted sulfurtransferase
U00	13507			Uptake hydrogenase small subunit	Uptake hydrogenase small subunit precursor
U00	13508			Calcium-dependent protease	Calcium-dependent protease precursor
U02	13509			hypothetical protein	Conserved hypothetical protein with a calcium-binding region
U00	13510			Peptidase M23B	Peptidase M23B precursor
U00	13511			Cyanoglobin Hemoglobin-like protein HbN	Cyanoglobin; Hemoglobin-like protein HbN
R00	13512			Cobalt transport protein CbiN	Additional substrate-specific component CbiN of cobalt ECF transporter
R00	13513			Type III pantothenate kinase	Pantothenate kinase type III, CoaX-like protein
R00	13514			Urease accessory protein UreE	Urease accessory protein E
R00	13515			Ycf48-like protein	Photosystem II stability/assembly factor HCF136/Ycf48
R00	13516			Cytosine-specific methyltransferase	cytosine specific DNA methyltransferase
R00	13517			Nitrogenase protein alpha chain	Nitrogenase (molybdenum-iron) alpha chain
R00	13518			RNA polymerase sigma factor	Group 2 RNA polymerase sigma factor Cyanobacteria-specific RpoD-like sigma factor, type-7
R00	13519			Aconitate hydratase B	Aconitate hydratase
R00	13520			Glutamate dehydrogenase	NAD-specific glutamate dehydrogenase; NADP-specific glutamate dehydrogenase
R00	13521			Peptidyl-prolyl cis-trans isomerase	FKBP-type peptidyl-prolyl cis-trans isomeras
R00	13522			Anaerobic ribonucleoside-triphosphate reductase-activating protein	Ribonucleotide reductase of class III (anaerobic), activating protein
R00	13523			UPF0296 protein NSP_40020	hypothetical protein
R00	13524			UPF0272 protein NSP_12430	hypothetical protein
U00	13525			Geranylgeranyl hydrogenase BchP Geranylgeranyl reductase	Geranylgeranyl hydrogenase BchP; Geranylgeranyl reductase
U00	13526			Translation initiation factor 2 (IF-2 GTPase)	Translation initiation factor 2 (IF-2; GTPase)
U02	13527			hypothetical protein	Conserved hypothetical protein, specific to cyanobacteria
U00	13528			Putative purple acid phosphatase	putative purple acid phosphatase precursor
U00	13529			ABC-type transport system, ATPase component, possibly Fe3	ABC-type transport system, ATPase component, possibly Fe3+
U00	13530			Chitodextrinase	Chitodextrinase precursor
U00	13531			Competence protein F-like, phosphoribosyltransferase domain protein YhgH required for utilization of DNA as sole source of carbon and energy	Competence protein F-like, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy
U00	13532			Osmotically inducible protein Y	Osmotically inducible protein Y precursor
U00	13533			Glutaryl 7-ACA acylase	glutaryl 7-ACA acylase precursor
R00	13534			Heterocyst differentiation control protein	Main regulator of heterocyst differentiation HetR
R00	13535			Nitrogenase-stabilizing/protective protein NifW	Nitrogenase stabilizing/protective protein NifW
R00	13536			Release factor glutamine methyltransferase	Methylase of polypeptide chain release factors
R00	13537			tRNA (guanine-N(7)-)-methyltransferase	tRNA(m7G46)-methyltransferase
R00	13538			Putative tRNA (cytidine(34)-2'-O)-methyltransferase	RRNA methylase
R00	13539			UPF0272 protein SynRCC307_1641	Conserved hypothetical protein
R00	13540			UPF0176 protein NSP_8900	Rhodanese domain protein UPF0176, cyanobacterial/alphaproteobacterial subgroup
R00	13541			UPF0182 protein NSP_50390	UPF0182 protein
U02	13542			hypothetical protein	Conserved hypothetical protein specific to oxyphototrophs
R00	13543			DNA primase	CHC2 zinc finger:Toprim domain-containing protein
R00	13544			Phosphonates import ATP-binding protein PhnC	Hypothetical protein
R00	13545			Pseudouridine synthase	Pseudouridylate synthases, 23S RNA-specific
U00	13546			SAM (And some other nucleotide) binding motif	SAM (and some other nucleotide) binding motif precursor
U02	13547			hypothetical protein	Protein of unknown function DUF21
U02	13548			hypothetical protein	Protein of unknown function DUF209
U02	13549			hypothetical protein	protein of unknown function DUF67
U02	13550			hypothetical protein	Protein of unknown function DUF111
U02	13551			hypothetical protein	hypothetical precursor
U00	13552			Porin-like protein	porin precursor-like protein
R00	13553			Carbamoyl-phosphate synthase large chain	carbamoyl-phosphate synthase large subunit
R00	13554			Chemotaxis response regulator protein-glutamate methylesterase	chemotaxis response regulator protein-glutamate methylesterase
R00	13555			Histidine biosynthesis bifunctional protein HisIE	phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphatase
R00	13556			Putative lipid II flippase MurJ	virulence factor MviN homolog
R00	13557			Photosystem II lipoprotein Psb27	photosystem II reaction center Psb27 protein-like protein
R00	13558			Photosystem I reaction center subunit XI	photosystem I PsaL protein (subunit XI)
R00	13559			Photosystem II reaction center Psb28 protein	photosystem II Psb28-2 protein
R00	13560			7-carboxy-7-deazaguanine synthase	organic radical activating enzyme-like protein
R00	13561			Anti-sigma factor antagonist	probable anti-sigma factor antagonist
R00	13562			RNA polymerase sigma factor	group 2 RNA polymerase sigma factor SigC
U00	13563			Transposase	transposase, fragment
U00	13564			HNH endonuclease	HNH endonuclease, fragment
U00	13565			PilT protein-like	PilT protein-like, fragment
U00	13566			Putative uncharacterized protein secG	hypothetical protein
U00	13567			Glutamate--tRNA(Gln) ligase/glutamyl-tRNA synthetase	glutamate--tRNA(Gln) ligase/glutamyl-tRNA synthetase, fragment
U00	13568			Cation efflux system protein NrsB	cation efflux system protein NrsB, fragment
R00	13569			tRNA (mo5U34)-methyltransferase	putative methyltransferase
R00	13570			Chromophore lyase CpcT/CpeT	putative phycocyanobilin lyase
R00	13571			Aminomethyltransferase	putative glycine cleavage T-protein
R00	13572			33 kDa chaperonin	33-kD chaperonin
R00	13573			Photosystem I P700 chlorophyll a apoprotein A1	photosystem I reaction center subunit Ia
R00	13574			Photosystem I P700 chlorophyll a apoprotein A2	photosystem I reaction center subunit Ib
R00	13575			Photosystem I reaction center subunit IX	photosystem I reaction center subunit IV
R00	13576			Photosystem II reaction center protein Z	photosystem II PsbZ protein, PSII-Z
R00	13577			Photosystem II reaction center X protein	photosystem II PsbX protein, PSII-X
R00	13578			Photosystem II reaction center protein M	photosystem II PsbM protein, PSII-M
R00	13579			Probable 30S ribosomal protein PSRP-3	Ycf65 protein
R00	13580			RNA polymerase sigma factor SigA	principal RNA polymerase sigma factor SigA
R00	13581			Photosystem I assembly protein Ycf4	Ycf4 protein
R00	13582			6-carboxy-5,6,7,8-tetrahydropterin synthase	hypothetical protein
R00	13583			Transport permease protein	putative ABC transporter permease protein
R00	13584			Site-specific DNA-methyltransferase (adenine-specific)	type II DNA modification methyltransferase
R00	13585			Beta-N-acetylhexosaminidase	glycoside hydrolase, family 3
R00	13586			Succinate dehydrogenase iron-sulfur subunit	putative succinate dehydrogenase iron-sulfur protein
R00	13587			UPF0284 protein NIES39_D00890	hypothetical protein
R00	13588			UPF0296 protein NIES39_J04400	hypothetical protein
R00	13589			UPF0367 protein NIES39_D03760	hypothetical protein
U00	13590			Putative uncharacterized protein ansA	hypothetical protein
U00	13591			Putative uncharacterized protein fcbC	hypothetical protein
R00	13592			Isopentenyl-diphosphate delta-isomerase	isopentenyl pyrophosphate isomerase
R00	13593			Non-canonical purine NTP pyrophosphatase	HAM1-like protein
R00	13594			Photosystem II reaction center protein T	photosystem II PsbTc protein
R00	13595			Methyltransferase	putative DNA methyltransferase
R00	13596			Ferredoxin--NADP reductase	ferredoxin--NADP+ oxidoreductase
R00	13597			Ribosome biogenesis GTPase A	hypothetical protein
R00	13598			Acylphosphatase	probable acylphosphatase
R00	13599			UPF0234 protein NIES39_D07830	hypothetical protein
U00	13600			Ribonucleoside-diphosphate reductase beta chain	ribonucleoside-diphosphate reductase beta chain, fragment
R00	13601			Adenine deaminase	adenosine deaminase
R00	13602			Cobalt transport protein CbiM	cobalamin biosynthesis protein
R00	13603			Cytochrome c biogenesis protein CcsA	c-type cytochrome biogenesis protein CcsA
R00	13604			Light-independent protochlorophyllide reductase subunit B	dark-operative protochlorophyllide oxidoreductase ChlB
R00	13605			Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein	dark-operative protochlorophyllide oxidoreductase ChlL
R00	13606			Light-independent protochlorophyllide reductase subunit N	dark-operative protochlorophyllide oxidoreductase ChlN
R00	13607			Sulfate/thiosulfate import ATP-binding protein CysA	putative sulfate ABC transporter ATP-binding protein
R00	13608			D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase	fructose-1,6-bisphosphatase/sedoheptulose-1, 7-bis phosphatase
R00	13609			GTPase Era	GTP-binding protein Era homolog
R00	13610			Imidazole glycerol phosphate synthase subunit HisF	imidazole glycerol phosphate synthase cyclase subunit HisF
R00	13611			Probable phosphoketolase	probable phosphoketolase
R00	13612			Spermidine/putrescine import ATP-binding protein PotA	putative polyamine ABC transporter ATP-binding protein
